name	target
6653	1
22410	0
3722	0
16279	0
9866	1
12700	0
31242	1
3831	1
8807	0
33667	0
27258	1
27702	1
22584	0
7903	1
16922	0
6125	0
5967	0
8408	1
16950	0
11410	0
15703	1
11960	1
6607	0
15714	0
3892	0
25687	0
25083	0
32091	0
29405	1
2598	1
33791	1
30122	1
33795	1
19518	0
29195	1
12180	1
14043	0
23684	1
19138	1
25238	1
3258	0
4995	1
19997	0
14100	1
18633	1
15755	1
9860	1
29918	1
14319	1
30890	0
4272	1
32403	1
18666	1
14346	0
26391	1
6276	0
9632	1
9210	0
24579	0
13338	1
28451	0
9417	0
9591	0
10479	1
15677	0
34667	1
5159	0
7993	1
10874	1
18819	0
25410	0
1131	1
22453	1
9247	1
25520	0
6560	1
20678	1
7099	1
31058	1
21926	0
10217	0
26864	1
17887	1
32169	1
23232	1
28146	0
32303	0
22842	0
20894	0
12061	0
28714	1
406	1
8263	0
7943	1
6173	1
33816	0
32242	1
35186	0
23778	1
575	0
7807	0
28625	1
28026	0
8904	1
28198	1
13530	1
16808	1
14110	1
34320	1
3582	1
25950	1
27940	1
20161	0
12104	0
17631	1
20014	0
16460	0
33662	0
21374	0
28615	0
4168	0
4442	0
26569	1
28400	1
11319	0
8554	1
33204	0
31830	1
33802	1
2336	1
30633	0
13713	1
35144	1
878	1
14912	1
6072	0
17106	0
1326	0
16340	1
16336	0
17628	0
32527	1
28516	0
1563	1
32552	0
15558	1
28721	0
19101	1
18888	0
14071	0
550	0
34668	1
15496	1
30599	0
30240	1
25091	0
12659	1
17108	1
32284	1
30142	1
